id,name,disposition,period,duration,depth,prad,teq
101696403,TOI-4293.01,1,1.6242109,2.273,17740.0,14.9916,1632.0
30499203,TOI-4294.01,1,2.4330551,1.882,15280.0,,1212.0
325527653,TOI-4295.01,1,11.3929129,4.46,6880.0,10.0728,836.0
72668830,TOI-4296.01,1,19.9706574,1.8801996,1037.3799062,3.1454612,567.2769582
28116365,TOI-4297.01,1,16.5272651,3.5945709,1074.4297512,2.9241556,581.4569608
146282666,TOI-4298.01,1,722.2619756,7.7126298,480.796335,2.7207078,231.3609161
67535663,TOI-4299.01,1,6.6019866,5.754,600.0,3.55715,1680.0
459942762,TOI-430.01,0,0.58644,1.441,443.281,2.31276,2511.0
266843799,TOI-4300.01,0,0.8062768,1.963,660.0,9.05313,3231.0
307079330,TOI-4301.01,1,6.5445251,2.138,787.0,2.62701,868.0
182078202,TOI-4302.01,1,38.7619532,4.5738199,785.4007844,2.5255313,492.9832275
200296137,TOI-4303.01,1,8.6110844,2.0181798,542.6102038,4.3063675,1319.7436969
366443426,TOI-4304.01,1,15.5718552,4.931,380.0,2.44317,912.0
366443426,TOI-4304.03,1,31.7180208,2.3326321,292.8649645,2.2998049,696.5022874
372068780,TOI-4305.01,1,183.0019106,2.5483505,396.3670005,5.5931205,555.1292025
372068780,TOI-4305.02,1,374.3644315,3.6392863,310.5114444,5.1223706,437.3016226
44898913,TOI-4306.01,1,2.7299049,0.8257288,7427.7249664,1.3513606,362.1910146
141186075,TOI-4307.01,1,32.696666,4.428309,108.5170828,1.3159881,614.7243418
141186075,TOI-4307.02,1,4.6545798,3.1445137,24.5834929,0.5531037,1177.3025181
144193715,TOI-4308.01,1,9.1512776,2.616,1074.0,2.45142,759.0
56662591,TOI-4309.01,1,,2.1563739,661.1667085,2.5058764,405.3306898
31374837,TOI-431.01,1,12.4610086,3.3195777,2078.1425981,3.2809492,588.5612549
31374837,TOI-431.02,1,0.4900589,1.0123328,291.0399722,1.4741529,1730.7192689
303317324,TOI-4310.01,1,739.1670007,5.7183604,1376.1395053,2.6735992,132.3381364
122617317,TOI-4311.01,1,15.0700779,3.8675641,852.6165721,2.7293235,621.4981538
122617317,TOI-4311.02,1,0.9902892,1.3567356,278.9096992,1.4156529,1540.1309997
251086776,TOI-4312.01,1,726.1175225,2.2543368,1707.6927809,2.4385296,228.0606305
294324819,TOI-4313.01,1,6.8227645,6.5295445,225.7612905,3.6003512,1370.0984633
459952217,TOI-4314.01,1,73.580982,2.1441598,347.4450365,3.3991025,703.162429
139148528,TOI-4315.01,1,8.2861614,3.436315,617.1152562,2.2912229,825.5991243
7020254,TOI-4316.01,1,20.2730282,3.651,17182.0,10.4386,592.0
422914082,TOI-4317.01,1,358.2825093,4.1416672,1862.6949843,3.8800495,191.8448019
