id,name,disposition,period,duration,depth,prad,teq
8263746,K03581.01,0,10.993826800,5.07460,419210.0,52.69,627.0
5877292,K07744.01,1,11.720169300,2.39900,154.4,1.34,870.0
10657406,K01837.02,1,1.682934607,1.88460,142.7,1.06,1270.0
3428468,K03582.01,0,114.908624190,7.66397,196110.0,42.78,259.0
7091432,K03353.01,1,11.555324450,3.49900,250.0,1.70,674.0
9845909,K03354.01,1,11.570600500,3.07300,211.9,1.33,771.0
9221528,K03355.01,1,16.295322800,4.88200,229.1,1.60,773.0
6106046,K07762.01,1,8.507351200,2.26600,209.5,1.38,891.0
6368230,K03356.01,1,26.084121200,6.14100,259.7,1.35,598.0
7115291,K03357.01,0,52.802767576,5.61840,52110.0,75.82,472.0
9907505,K03427.01,0,39.206808648,6.24701,186980.0,50.20,516.0
9027909,K03428.01,1,64.658916600,7.71000,235.4,2.12,535.0
9230021,K03429.01,1,15.828383300,3.64300,227.5,1.80,758.0
6369845,K07777.01,0,27.676034200,4.23400,266.8,5.15,951.0
9230021,K03429.02,1,8.741923610,4.23500,295.7,1.94,924.0
9230021,K03429.03,0,26.936878000,4.96900,246.9,1.57,617.0
3662838,K00302.02,0,53.344180380,3.62000,,,
5471688,K03499.01,0,12.428130800,6.79000,131.4,0.85,715.0
8552719,K01792.03,1,9.109693340,5.31810,126.4,1.32,873.0
5471688,K03499.02,0,0.962832640,2.94700,96.3,0.74,1686.0
6058816,K03500.01,1,73.750276500,13.30900,233.1,3.78,677.0
6058816,K03500.02,1,4.748266900,4.94700,35.6,1.57,1690.0
5130740,K03583.01,0,210.306443610,6.68665,46455.0,101.13,525.0
9892471,K03584.01,0,8.268081087,3.47103,71479.0,50.31,863.0
2019076,K03585.01,0,3.564614021,3.44204,94342.0,46.00,1187.0
5879448,K07745.01,0,533.477070000,23.71000,210.6,2.60,315.0
7376490,K03586.01,0,5.877122413,3.73690,15647.0,45.95,1061.0
11968513,K03587.01,0,1.036592635,2.40749,124500.0,463.05,4194.0
